ep-904920 FC(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-905456 CC(F)(OC(F)(F)CF)C(F)(F)C(F)F
ep-905457 CC(F)(F)OC(C)(F)C(F)(F)C(F)(F)F
ep-905458 CC(F)C(F)(OC(F)(F)CF)C(F)(F)F
ep-905459 CC(F)(F)OC(F)(C(F)CF)C(F)(F)F
ep-905460 CC(F)C(F)(OC(F)(F)C(F)F)C(F)F
ep-905461 FCC(F)C(F)(OC(F)(F)CF)C(F)F
ep-905462 CC(F)(F)OC(F)(C(F)F)C(F)C(F)F
ep-905463 CC(F)C(F)(CF)OC(F)(F)C(F)(F)F
ep-905464 FCC(F)C(F)(CF)OC(F)(F)C(F)F
ep-905465 FCC(F)(F)OC(F)(CF)C(F)C(F)F
ep-905466 CC(F)(F)OC(F)(CF)C(F)C(F)(F)F
ep-905467 CC(F)(OC(F)(F)C(F)(F)F)C(F)CF
ep-905468 CC(F)(OC(F)(F)C(F)F)C(F)C(F)F
ep-905469 CC(F)(OC(F)(F)CF)C(F)C(F)(F)F
ep-905470 CCC(F)(OC(F)(F)C(F)F)C(F)(F)F
ep-905471 FCCC(F)(OC(F)(F)CF)C(F)(F)F
ep-905472 CC(F)(F)OC(F)(CC(F)F)C(F)(F)F
ep-905473 CCC(F)(OC(F)(F)C(F)(F)F)C(F)F
ep-905474 FCCC(F)(OC(F)(F)C(F)F)C(F)F
ep-905475 FCC(F)(F)OC(F)(CC(F)F)C(F)F
ep-905476 CC(F)(F)OC(F)(CC(F)(F)F)C(F)F
ep-905477 FCCC(F)(CF)OC(F)(F)C(F)(F)F
ep-905478 FCC(F)(CC(F)F)OC(F)(F)C(F)F
ep-905479 FCC(F)(F)OC(F)(CF)CC(F)(F)F
ep-905480 CC(F)(CC(F)F)OC(F)(F)C(F)(F)F
ep-905481 CC(F)(CC(F)(F)F)OC(F)(F)C(F)F
ep-905482 CC(F)(F)C(F)(OC(F)CF)C(F)(F)F
ep-905483 CC(F)OC(F)(C(F)(F)F)C(F)(F)CF
ep-905484 CC(F)(F)C(F)(OC(F)C(F)F)C(F)F
ep-905485 FCC(F)OC(F)(C(F)F)C(F)(F)CF
ep-905486 CC(F)OC(F)(C(F)F)C(F)(F)C(F)F
ep-905487 CC(F)(F)C(F)(CF)OC(F)C(F)(F)F
ep-905488 FCC(F)(F)C(F)(CF)OC(F)C(F)F
ep-905489 FCC(F)OC(F)(CF)C(F)(F)C(F)F
ep-905490 CC(F)OC(F)(CF)C(F)(F)C(F)(F)F
ep-905491 CC(F)(OC(F)C(F)(F)F)C(F)(F)CF
ep-905492 CC(F)(OC(F)C(F)F)C(F)(F)C(F)F
ep-905493 CC(F)(OC(F)CF)C(F)(F)C(F)(F)F
ep-905494 CC(F)C(F)(OC(F)C(F)F)C(F)(F)F
ep-905495 FCC(F)OC(F)(C(F)CF)C(F)(F)F
ep-905496 CC(F)OC(F)(C(F)C(F)F)C(F)(F)F
ep-905497 CC(F)C(F)(OC(F)C(F)(F)F)C(F)F
ep-905498 FCC(F)C(F)(OC(F)C(F)F)C(F)F
ep-905499 FCC(F)OC(F)(C(F)F)C(F)C(F)F
ep-905500 CC(F)OC(F)(C(F)F)C(F)C(F)(F)F
ep-905501 FCC(F)C(F)(CF)OC(F)C(F)(F)F
ep-905502 FCC(F)(OC(F)C(F)F)C(F)C(F)F
ep-905503 FCC(F)OC(F)(CF)C(F)C(F)(F)F
ep-905504 CC(F)(OC(F)C(F)(F)F)C(F)C(F)F
ep-905505 CC(F)(OC(F)C(F)F)C(F)C(F)(F)F
ep-905506 CCC(F)(OC(F)C(F)(F)F)C(F)(F)F
ep-905507 FCCC(F)(OC(F)C(F)F)C(F)(F)F
ep-905508 FCC(F)OC(F)(CC(F)F)C(F)(F)F
ep-905509 CC(F)OC(F)(CC(F)(F)F)C(F)(F)F
ep-905510 FCCC(F)(OC(F)C(F)(F)F)C(F)F
ep-905511 FC(F)CC(F)(OC(F)C(F)F)C(F)F
ep-905512 FCC(F)OC(F)(CC(F)(F)F)C(F)F
ep-905513 FCC(F)(CC(F)F)OC(F)C(F)(F)F
ep-905514 FCC(F)(CC(F)(F)F)OC(F)C(F)F
ep-905515 CC(F)(CC(F)(F)F)OC(F)C(F)(F)F
ep-905516 CC(F)(F)C(F)(OCC(F)F)C(F)(F)F
ep-905517 FCCOC(F)(C(F)(F)F)C(F)(F)CF
ep-905518 CCOC(F)(C(F)(F)F)C(F)(F)C(F)F
ep-905519 CC(F)(F)C(F)(OCC(F)(F)F)C(F)F
ep-905520 FCC(F)(F)C(F)(OCC(F)F)C(F)F
ep-905521 FCCOC(F)(C(F)F)C(F)(F)C(F)F
ep-905522 CCOC(F)(C(F)F)C(F)(F)C(F)(F)F
ep-905523 FCC(F)(F)C(F)(CF)OCC(F)(F)F
ep-905524 FCC(F)(OCC(F)F)C(F)(F)C(F)F
ep-905525 FCCOC(F)(CF)C(F)(F)C(F)(F)F
ep-905526 CC(F)(OCC(F)(F)F)C(F)(F)C(F)F
ep-905527 CC(F)(OCC(F)F)C(F)(F)C(F)(F)F
ep-905528 CC(F)C(F)(OCC(F)(F)F)C(F)(F)F
ep-905529 FCC(F)C(F)(OCC(F)F)C(F)(F)F
ep-905530 FCCOC(F)(C(F)C(F)F)C(F)(F)F
ep-905531 CCOC(F)(C(F)C(F)(F)F)C(F)(F)F
ep-905532 FCC(F)C(F)(OCC(F)(F)F)C(F)F
ep-905533 FC(F)COC(F)(C(F)F)C(F)C(F)F
ep-905534 FCCOC(F)(C(F)F)C(F)C(F)(F)F
ep-905535 FCC(F)(OCC(F)(F)F)C(F)C(F)F
ep-905536 FCC(F)(OCC(F)F)C(F)C(F)(F)F
ep-905537 CC(F)(OCC(F)(F)F)C(F)C(F)(F)F
ep-905538 FCCC(F)(OCC(F)(F)F)C(F)(F)F
ep-905539 FC(F)COC(F)(CC(F)F)C(F)(F)F
ep-905540 FCCOC(F)(CC(F)(F)F)C(F)(F)F
ep-905541 FC(F)CC(F)(OCC(F)(F)F)C(F)F
ep-905542 FC(F)COC(F)(CC(F)(F)F)C(F)F
ep-905543 FCC(F)(CC(F)(F)F)OCC(F)(F)F
ep-905544 CC(F)(F)C(OC(F)(F)CF)C(F)(F)F
ep-905545 CC(F)(F)OC(C(F)(F)F)C(F)(F)CF
ep-905546 CC(F)(F)C(OC(F)(F)C(F)F)C(F)F
ep-905547 FCC(F)(F)OC(C(F)F)C(F)(F)CF
ep-905548 CC(F)(F)OC(C(F)F)C(F)(F)C(F)F
ep-905549 CC(F)(F)C(CF)OC(F)(F)C(F)(F)F
ep-905550 FCC(OC(F)(F)C(F)F)C(F)(F)CF
ep-905551 FCC(OC(F)(F)CF)C(F)(F)C(F)F
ep-905552 CC(F)(F)OC(CF)C(F)(F)C(F)(F)F
ep-905553 CC(OC(F)(F)C(F)(F)F)C(F)(F)CF
ep-905554 CC(OC(F)(F)C(F)F)C(F)(F)C(F)F
ep-905555 CC(OC(F)(F)CF)C(F)(F)C(F)(F)F
ep-905556 CC(F)C(OC(F)(F)C(F)F)C(F)(F)F
ep-905557 FCC(F)C(OC(F)(F)CF)C(F)(F)F
ep-905558 CC(F)(F)OC(C(F)C(F)F)C(F)(F)F
ep-905559 CC(F)C(OC(F)(F)C(F)(F)F)C(F)F
ep-905560 FCC(F)C(OC(F)(F)C(F)F)C(F)F
ep-905561 FCC(F)(F)OC(C(F)F)C(F)C(F)F
ep-905562 CC(F)(F)OC(C(F)F)C(F)C(F)(F)F
ep-905563 FCC(F)C(CF)OC(F)(F)C(F)(F)F
ep-905564 FCC(OC(F)(F)C(F)F)C(F)C(F)F
ep-905565 FCC(OC(F)(F)CF)C(F)C(F)(F)F
ep-905566 CC(OC(F)(F)C(F)(F)F)C(F)C(F)F
ep-905567 CC(OC(F)(F)C(F)F)C(F)C(F)(F)F
ep-905568 CCC(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-905569 FCCC(OC(F)(F)C(F)F)C(F)(F)F
ep-905570 FCC(F)(F)OC(CC(F)F)C(F)(F)F
ep-905571 CC(F)(F)OC(CC(F)(F)F)C(F)(F)F
ep-905572 FCCC(OC(F)(F)C(F)(F)F)C(F)F
ep-905573 FC(F)CC(OC(F)(F)C(F)F)C(F)F
ep-905574 FCC(F)(F)OC(CC(F)(F)F)C(F)F
ep-905575 FCC(CC(F)F)OC(F)(F)C(F)(F)F
ep-905576 FCC(CC(F)(F)F)OC(F)(F)C(F)F
ep-905577 CC(CC(F)(F)F)OC(F)(F)C(F)(F)F
ep-905578 CC(F)(F)C(OC(F)C(F)F)C(F)(F)F
ep-905579 FCC(F)OC(C(F)(F)F)C(F)(F)CF
ep-905580 CC(F)OC(C(F)(F)F)C(F)(F)C(F)F
ep-905581 CC(F)(F)C(OC(F)C(F)(F)F)C(F)F
ep-905582 FCC(F)(F)C(OC(F)C(F)F)C(F)F
ep-905583 FCC(F)OC(C(F)F)C(F)(F)C(F)F
ep-905584 CC(F)OC(C(F)F)C(F)(F)C(F)(F)F
ep-905585 FCC(OC(F)C(F)(F)F)C(F)(F)CF
ep-905586 FCC(OC(F)C(F)F)C(F)(F)C(F)F
ep-905587 FCC(F)OC(CF)C(F)(F)C(F)(F)F
ep-905588 CC(OC(F)C(F)(F)F)C(F)(F)C(F)F
ep-905589 CC(OC(F)C(F)F)C(F)(F)C(F)(F)F
ep-905590 CC(F)C(OC(F)C(F)(F)F)C(F)(F)F
ep-905591 FCC(F)C(OC(F)C(F)F)C(F)(F)F
ep-905592 FCC(F)OC(C(F)C(F)F)C(F)(F)F
ep-905593 CC(F)OC(C(F)C(F)(F)F)C(F)(F)F
ep-905594 FCC(F)C(OC(F)C(F)(F)F)C(F)F
ep-905595 FC(F)C(F)OC(C(F)F)C(F)C(F)F
ep-905596 FCC(F)OC(C(F)F)C(F)C(F)(F)F
ep-905597 FCC(OC(F)C(F)(F)F)C(F)C(F)F
ep-905598 FCC(OC(F)C(F)F)C(F)C(F)(F)F
ep-905599 CC(OC(F)C(F)(F)F)C(F)C(F)(F)F
ep-905600 FCCC(OC(F)C(F)(F)F)C(F)(F)F
ep-905601 FC(F)CC(OC(F)C(F)F)C(F)(F)F
ep-905602 FCC(F)OC(CC(F)(F)F)C(F)(F)F
ep-905603 FC(F)CC(OC(F)C(F)(F)F)C(F)F
ep-905604 FC(F)C(F)OC(CC(F)(F)F)C(F)F
ep-905605 FCC(CC(F)(F)F)OC(F)C(F)(F)F
ep-905606 CC(F)(F)C(OCC(F)(F)F)C(F)(F)F
ep-905607 FCC(F)(F)C(OCC(F)F)C(F)(F)F
ep-905608 FCCOC(C(F)(F)F)C(F)(F)C(F)F
ep-905609 CCOC(C(F)(F)F)C(F)(F)C(F)(F)F
ep-905610 FCC(F)(F)C(OCC(F)(F)F)C(F)F
ep-905611 FC(F)COC(C(F)F)C(F)(F)C(F)F
ep-905612 FCCOC(C(F)F)C(F)(F)C(F)(F)F
ep-905613 FCC(OCC(F)(F)F)C(F)(F)C(F)F
ep-905614 FCC(OCC(F)F)C(F)(F)C(F)(F)F
ep-905615 CC(OCC(F)(F)F)C(F)(F)C(F)(F)F
ep-905616 FCC(F)C(OCC(F)(F)F)C(F)(F)F
ep-905617 FC(F)COC(C(F)C(F)F)C(F)(F)F
ep-905618 FCCOC(C(F)C(F)(F)F)C(F)(F)F
ep-905619 FC(F)C(F)C(OCC(F)(F)F)C(F)F
ep-905620 FC(F)COC(C(F)F)C(F)C(F)(F)F
ep-905621 FCC(OCC(F)(F)F)C(F)C(F)(F)F
ep-905622 FC(F)CC(OCC(F)(F)F)C(F)(F)F
ep-905623 FC(F)COC(CC(F)(F)F)C(F)(F)F
ep-905624 FC(F)C(CC(F)(F)F)OCC(F)(F)F
ep-905653 C=C(F)C(F)(OC(F)(F)CF)C(F)(F)F
ep-905654 CC(F)(F)OC(F)(C(F)=CF)C(F)(F)F
ep-905655 C=C(F)C(F)(OC(F)(F)C(F)F)C(F)F
ep-905656 FC=C(F)C(F)(OC(F)(F)CF)C(F)F
ep-905657 CC(F)(F)OC(F)(C(F)=C(F)F)C(F)F
ep-905658 C=C(F)C(F)(CF)OC(F)(F)C(F)(F)F
ep-905659 FC=C(F)C(F)(CF)OC(F)(F)C(F)F
ep-905660 FCC(F)(F)OC(F)(CF)C(F)=C(F)F
ep-905661 CC(F)(OC(F)(F)C(F)(F)F)C(F)=CF
ep-905662 CC(F)(OC(F)(F)C(F)F)C(F)=C(F)F
ep-905663 C=CC(F)(OC(F)(F)C(F)F)C(F)(F)F
ep-905664 FC=CC(F)(OC(F)(F)CF)C(F)(F)F
ep-905665 CC(F)(F)OC(F)(C=C(F)F)C(F)(F)F
ep-905666 C=CC(F)(OC(F)(F)C(F)(F)F)C(F)F
ep-905667 FC=CC(F)(OC(F)(F)C(F)F)C(F)F
ep-905668 FCC(F)(F)OC(F)(C=C(F)F)C(F)F
ep-905669 FC=CC(F)(CF)OC(F)(F)C(F)(F)F
ep-905670 FCC(F)(C=C(F)F)OC(F)(F)C(F)F
ep-905671 CC(F)(C=C(F)F)OC(F)(F)C(F)(F)F
ep-905672 C=C(F)C(F)(OC(F)C(F)F)C(F)(F)F
ep-905673 FC=C(F)C(F)(OC(F)CF)C(F)(F)F
ep-905674 CC(F)OC(F)(C(F)=C(F)F)C(F)(F)F
ep-905675 C=C(F)C(F)(OC(F)C(F)(F)F)C(F)F
ep-905676 FC=C(F)C(F)(OC(F)C(F)F)C(F)F
ep-905677 FCC(F)OC(F)(C(F)=C(F)F)C(F)F
ep-905678 FC=C(F)C(F)(CF)OC(F)C(F)(F)F
ep-905679 FCC(F)(OC(F)C(F)F)C(F)=C(F)F
ep-905680 CC(F)(OC(F)C(F)(F)F)C(F)=C(F)F
ep-905681 C=CC(F)(OC(F)C(F)(F)F)C(F)(F)F
ep-905682 FC=CC(F)(OC(F)C(F)F)C(F)(F)F
ep-905683 FCC(F)OC(F)(C=C(F)F)C(F)(F)F
ep-905684 FC=CC(F)(OC(F)C(F)(F)F)C(F)F
ep-905685 FC(F)=CC(F)(OC(F)C(F)F)C(F)F
ep-905686 FCC(F)(C=C(F)F)OC(F)C(F)(F)F
ep-905687 C=C(F)C(F)(OCC(F)(F)F)C(F)(F)F
ep-905688 FC=C(F)C(F)(OCC(F)F)C(F)(F)F
ep-905689 FCCOC(F)(C(F)=C(F)F)C(F)(F)F
ep-905690 FC=C(F)C(F)(OCC(F)(F)F)C(F)F
ep-905691 FC(F)=C(F)C(F)(OCC(F)F)C(F)F
ep-905692 FCC(F)(OCC(F)(F)F)C(F)=C(F)F
ep-905693 FC=CC(F)(OCC(F)(F)F)C(F)(F)F
ep-905694 FC(F)=CC(F)(OCC(F)F)C(F)(F)F
ep-905695 FC(F)=CC(F)(OCC(F)(F)F)C(F)F
ep-905696 C=C(F)C(OC(F)(F)C(F)F)C(F)(F)F
ep-905697 FC=C(F)C(OC(F)(F)CF)C(F)(F)F
ep-905698 CC(F)(F)OC(C(F)=C(F)F)C(F)(F)F
ep-905699 C=C(F)C(OC(F)(F)C(F)(F)F)C(F)F
ep-905700 FC=C(F)C(OC(F)(F)C(F)F)C(F)F
ep-905701 FCC(F)(F)OC(C(F)=C(F)F)C(F)F
ep-905702 FC=C(F)C(CF)OC(F)(F)C(F)(F)F
ep-905703 FCC(OC(F)(F)C(F)F)C(F)=C(F)F
ep-905704 CC(OC(F)(F)C(F)(F)F)C(F)=C(F)F
ep-905705 C=CC(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-905706 FC=CC(OC(F)(F)C(F)F)C(F)(F)F
ep-905707 FCC(F)(F)OC(C=C(F)F)C(F)(F)F
ep-905708 FC=CC(OC(F)(F)C(F)(F)F)C(F)F
ep-905709 FC(F)=CC(OC(F)(F)C(F)F)C(F)F
ep-905710 FCC(C=C(F)F)OC(F)(F)C(F)(F)F
ep-905711 C=C(F)C(OC(F)C(F)(F)F)C(F)(F)F
ep-905712 FC=C(F)C(OC(F)C(F)F)C(F)(F)F
ep-905713 FCC(F)OC(C(F)=C(F)F)C(F)(F)F
ep-905714 FC=C(F)C(OC(F)C(F)(F)F)C(F)F
ep-905715 FC(F)=C(F)C(OC(F)C(F)F)C(F)F
ep-905716 FCC(OC(F)C(F)(F)F)C(F)=C(F)F
ep-905717 FC=CC(OC(F)C(F)(F)F)C(F)(F)F
ep-905718 FC(F)=CC(OC(F)C(F)F)C(F)(F)F
ep-905719 FC(F)=CC(OC(F)C(F)(F)F)C(F)F
ep-905720 FC=C(F)C(OCC(F)(F)F)C(F)(F)F
ep-905721 FC(F)=C(F)C(OCC(F)F)C(F)(F)F
ep-905722 FC(F)=C(F)C(OCC(F)(F)F)C(F)F
ep-905723 FC(F)=CC(OCC(F)(F)F)C(F)(F)F
ep-905724 C#CC(F)(OC(F)(F)C(F)F)C(F)(F)F
ep-905725 FC#CC(F)(OC(F)(F)CF)C(F)(F)F
ep-905726 C#CC(F)(OC(F)(F)C(F)(F)F)C(F)F
ep-905727 FC#CC(F)(OC(F)(F)C(F)F)C(F)F
ep-905728 FC#CC(F)(CF)OC(F)(F)C(F)(F)F
ep-905729 C#CC(F)(OC(F)C(F)(F)F)C(F)(F)F
ep-905730 FC#CC(F)(OC(F)C(F)F)C(F)(F)F
ep-905731 FC#CC(F)(OC(F)C(F)(F)F)C(F)F
ep-905732 FC#CC(F)(OCC(F)(F)F)C(F)(F)F
ep-905733 C#CC(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-905734 FC#CC(OC(F)(F)C(F)F)C(F)(F)F
ep-905735 FC#CC(OC(F)(F)C(F)(F)F)C(F)F
ep-905736 FC#CC(OC(F)C(F)(F)F)C(F)(F)F
ep-905737 CCC(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-905738 CC(F)C(F)(F)OC(F)(CF)C(F)(F)F
ep-905739 FCCC(F)(F)OC(F)(CF)C(F)(F)F
ep-905740 CC(F)(F)C(F)(F)OC(C)(F)C(F)(F)F
ep-905741 CC(F)(OC(F)(F)C(F)CF)C(F)(F)F
ep-905742 CC(F)(OC(F)(F)CC(F)F)C(F)(F)F
ep-905743 CC(F)C(F)(F)OC(F)(C(F)F)C(F)F
ep-905744 FCCC(F)(F)OC(F)(C(F)F)C(F)F
ep-905745 CC(F)(F)C(F)(F)OC(F)(CF)C(F)F
ep-905746 FCC(F)C(F)(F)OC(F)(CF)C(F)F
ep-905747 FCC(F)(OC(F)(F)CC(F)F)C(F)F
ep-905748 CC(F)(OC(F)(F)C(F)(F)CF)C(F)F
ep-905749 CC(F)(OC(F)(F)C(F)C(F)F)C(F)F
ep-905750 CC(F)(OC(F)(F)CC(F)(F)F)C(F)F
ep-905751 FCC(F)(CF)OC(F)(F)C(F)(F)CF
ep-905752 FCC(F)(CF)OC(F)(F)C(F)C(F)F
ep-905753 FCC(F)(CF)OC(F)(F)CC(F)(F)F
ep-905754 CC(F)(CF)OC(F)(F)C(F)(F)C(F)F
ep-905755 CC(F)(CF)OC(F)(F)C(F)C(F)(F)F
ep-905756 CC(C)(F)OC(F)(F)C(F)(F)C(F)(F)F
ep-905757 CCC(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-905758 CC(F)C(F)OC(F)(C(F)F)C(F)(F)F
ep-905759 FCCC(F)OC(F)(C(F)F)C(F)(F)F
ep-905760 CC(F)(F)C(F)OC(F)(CF)C(F)(F)F
ep-905761 FCC(F)C(F)OC(F)(CF)C(F)(F)F
ep-905762 FCC(F)(OC(F)CC(F)F)C(F)(F)F
ep-905763 CC(F)(OC(F)C(F)(F)CF)C(F)(F)F
ep-905764 CC(F)(OC(F)C(F)C(F)F)C(F)(F)F
ep-905765 CC(F)(OC(F)CC(F)(F)F)C(F)(F)F
ep-905766 CC(F)(F)C(F)OC(F)(C(F)F)C(F)F
ep-905767 FCC(F)C(F)OC(F)(C(F)F)C(F)F
ep-905768 FC(F)CC(F)OC(F)(C(F)F)C(F)F
ep-905769 FCC(F)(F)C(F)OC(F)(CF)C(F)F
ep-905770 FCC(F)(OC(F)C(F)C(F)F)C(F)F
ep-905771 FCC(F)(OC(F)CC(F)(F)F)C(F)F
ep-905772 CC(F)(OC(F)C(F)(F)C(F)F)C(F)F
ep-905773 CC(F)(OC(F)C(F)C(F)(F)F)C(F)F
ep-905774 FCC(F)(CF)OC(F)C(F)(F)C(F)F
ep-905775 FCC(F)(CF)OC(F)C(F)C(F)(F)F
ep-905776 CC(F)(CF)OC(F)C(F)(F)C(F)(F)F
ep-905777 CC(F)COC(F)(C(F)(F)F)C(F)(F)F
ep-905778 FCCCOC(F)(C(F)(F)F)C(F)(F)F
ep-905779 CC(F)(F)COC(F)(C(F)F)C(F)(F)F
ep-905780 FCC(F)COC(F)(C(F)F)C(F)(F)F
ep-905781 FC(F)CCOC(F)(C(F)F)C(F)(F)F
ep-905782 FCC(F)(F)COC(F)(CF)C(F)(F)F
ep-905783 FCC(F)(OCC(F)C(F)F)C(F)(F)F
ep-905784 FCC(F)(OCCC(F)(F)F)C(F)(F)F
ep-905785 CC(F)(OCC(F)(F)C(F)F)C(F)(F)F
ep-905786 CC(F)(OCC(F)C(F)(F)F)C(F)(F)F
ep-905787 FCC(F)(F)COC(F)(C(F)F)C(F)F
ep-905788 FC(F)C(F)COC(F)(C(F)F)C(F)F
ep-905789 FC(F)C(F)(OCCC(F)(F)F)C(F)F
ep-905790 FCC(F)(OCC(F)(F)C(F)F)C(F)F
ep-905791 FCC(F)(OCC(F)C(F)(F)F)C(F)F
ep-905792 CC(F)(OCC(F)(F)C(F)(F)F)C(F)F
ep-905793 FCC(F)(CF)OCC(F)(F)C(F)(F)F
ep-905794 CCC(F)(F)OC(C(F)(F)F)C(F)(F)F
ep-905795 CC(F)C(F)(F)OC(C(F)F)C(F)(F)F
ep-905796 FCCC(F)(F)OC(C(F)F)C(F)(F)F
ep-905797 CC(F)(F)C(F)(F)OC(CF)C(F)(F)F
ep-905798 FCC(OC(F)(F)C(F)CF)C(F)(F)F
ep-905799 FCC(OC(F)(F)CC(F)F)C(F)(F)F
ep-905800 CC(OC(F)(F)C(F)(F)CF)C(F)(F)F
ep-905801 CC(OC(F)(F)C(F)C(F)F)C(F)(F)F
ep-905802 CC(OC(F)(F)CC(F)(F)F)C(F)(F)F
ep-905803 CC(F)(F)C(F)(F)OC(C(F)F)C(F)F
ep-905804 FCC(F)C(F)(F)OC(C(F)F)C(F)F
ep-905805 FC(F)CC(F)(F)OC(C(F)F)C(F)F
ep-905806 FCC(OC(F)(F)C(F)(F)CF)C(F)F
ep-905807 FCC(OC(F)(F)C(F)C(F)F)C(F)F
ep-905808 FCC(OC(F)(F)CC(F)(F)F)C(F)F
ep-905809 CC(OC(F)(F)C(F)(F)C(F)F)C(F)F
ep-905810 CC(OC(F)(F)C(F)C(F)(F)F)C(F)F
ep-905811 FCC(CF)OC(F)(F)C(F)(F)C(F)F
ep-905812 FCC(CF)OC(F)(F)C(F)C(F)(F)F
ep-905813 CC(CF)OC(F)(F)C(F)(F)C(F)(F)F
ep-905814 CC(F)C(F)OC(C(F)(F)F)C(F)(F)F
ep-905815 FCCC(F)OC(C(F)(F)F)C(F)(F)F
ep-905816 CC(F)(F)C(F)OC(C(F)F)C(F)(F)F
ep-905817 FCC(F)C(F)OC(C(F)F)C(F)(F)F
ep-905818 FC(F)CC(F)OC(C(F)F)C(F)(F)F
ep-905819 FCC(OC(F)C(F)(F)CF)C(F)(F)F
ep-905820 FCC(OC(F)C(F)C(F)F)C(F)(F)F
ep-905821 FCC(OC(F)CC(F)(F)F)C(F)(F)F
ep-905822 CC(OC(F)C(F)(F)C(F)F)C(F)(F)F
ep-905823 CC(OC(F)C(F)C(F)(F)F)C(F)(F)F
ep-905824 FCC(F)(F)C(F)OC(C(F)F)C(F)F
ep-905825 FC(F)C(F)C(F)OC(C(F)F)C(F)F
ep-905826 FC(CC(F)(F)F)OC(C(F)F)C(F)F
ep-905827 FCC(OC(F)C(F)(F)C(F)F)C(F)F
ep-905828 FCC(OC(F)C(F)C(F)(F)F)C(F)F
ep-905829 CC(OC(F)C(F)(F)C(F)(F)F)C(F)F
ep-905830 FCC(CF)OC(F)C(F)(F)C(F)(F)F
ep-905831 CC(F)(F)COC(C(F)(F)F)C(F)(F)F
ep-905832 FCC(F)COC(C(F)(F)F)C(F)(F)F
ep-905833 FC(F)CCOC(C(F)(F)F)C(F)(F)F
ep-905834 FCC(F)(F)COC(C(F)F)C(F)(F)F
ep-905835 FC(F)C(F)COC(C(F)F)C(F)(F)F
ep-905836 FC(F)C(OCCC(F)(F)F)C(F)(F)F
ep-905837 FCC(OCC(F)(F)C(F)F)C(F)(F)F
ep-905838 FCC(OCC(F)C(F)(F)F)C(F)(F)F
ep-905839 CC(OCC(F)(F)C(F)(F)F)C(F)(F)F
ep-905840 FC(F)C(OCC(F)(F)C(F)F)C(F)F
ep-905841 FC(F)C(OCC(F)C(F)(F)F)C(F)F
ep-905842 FCC(OCC(F)(F)C(F)(F)F)C(F)F
ep-905861 C=CC(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-905862 C=C(F)C(F)(F)OC(F)(CF)C(F)(F)F
ep-905863 FC=CC(F)(F)OC(F)(CF)C(F)(F)F
ep-905864 CC(F)(OC(F)(F)C(F)=CF)C(F)(F)F
ep-905865 CC(F)(OC(F)(F)C=C(F)F)C(F)(F)F
ep-905866 C=C(F)C(F)(F)OC(F)(C(F)F)C(F)F
ep-905867 FC=CC(F)(F)OC(F)(C(F)F)C(F)F
ep-905868 FC=C(F)C(F)(F)OC(F)(CF)C(F)F
ep-905869 FCC(F)(OC(F)(F)C=C(F)F)C(F)F
ep-905870 CC(F)(OC(F)(F)C(F)=C(F)F)C(F)F
ep-905871 FCC(F)(CF)OC(F)(F)C(F)=C(F)F
ep-905872 C=CC(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-905873 C=C(F)C(F)OC(F)(C(F)F)C(F)(F)F
ep-905874 FC=CC(F)OC(F)(C(F)F)C(F)(F)F
ep-905875 FC=C(F)C(F)OC(F)(CF)C(F)(F)F
ep-905876 FCC(F)(OC(F)C=C(F)F)C(F)(F)F
ep-905877 CC(F)(OC(F)C(F)=C(F)F)C(F)(F)F
ep-905878 FC=C(F)C(F)OC(F)(C(F)F)C(F)F
ep-905879 FC(F)=CC(F)OC(F)(C(F)F)C(F)F
ep-905880 FCC(F)(OC(F)C(F)=C(F)F)C(F)F
ep-905881 C=C(F)COC(F)(C(F)(F)F)C(F)(F)F
ep-905882 FC=CCOC(F)(C(F)(F)F)C(F)(F)F
ep-905883 FC=C(F)COC(F)(C(F)F)C(F)(F)F
ep-905884 FC(F)=CCOC(F)(C(F)F)C(F)(F)F
ep-905885 FCC(F)(OCC(F)=C(F)F)C(F)(F)F
ep-905886 FC(F)=C(F)COC(F)(C(F)F)C(F)F
ep-905887 C=CC(F)(F)OC(C(F)(F)F)C(F)(F)F
ep-905888 C=C(F)C(F)(F)OC(C(F)F)C(F)(F)F
ep-905889 FC=CC(F)(F)OC(C(F)F)C(F)(F)F
ep-905890 FC=C(F)C(F)(F)OC(CF)C(F)(F)F
ep-905891 FCC(OC(F)(F)C=C(F)F)C(F)(F)F
ep-905892 CC(OC(F)(F)C(F)=C(F)F)C(F)(F)F
ep-905893 FC=C(F)C(F)(F)OC(C(F)F)C(F)F
ep-905894 FC(F)=CC(F)(F)OC(C(F)F)C(F)F
ep-905895 FCC(OC(F)(F)C(F)=C(F)F)C(F)F
ep-905896 C=C(F)C(F)OC(C(F)(F)F)C(F)(F)F
ep-905897 FC=CC(F)OC(C(F)(F)F)C(F)(F)F
ep-905898 FC=C(F)C(F)OC(C(F)F)C(F)(F)F
ep-905899 FC(F)=CC(F)OC(C(F)F)C(F)(F)F
